Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,Factory to port,False,Available,JTEABFAJ0R136CW70,Toyota Carlsbad,CA
2024,1958 4WD,Ice Cap,55950,0,55950,Factory to port,False,,JTEABFAJ0R136DB19,Maita's Toyota of Sacramento,CA
2024,1958 4WD,Black,55950,888,56838,Factory to port,False,,JTEABFAJ0R136DV13,Romeoville Toyota,IL
2024,1958 4WD,Ice Cap,55950,0,55950,Factory to port,False,Available,JTEABFAJ0R136FA47,Cannon Toyota,MS
2024,1958 4WD,Meteor Shower,55950,0,55950,Factory to port,False,Available,JTEABFAJ0R136FB00,Brownsville Toyota,TX
2024,1958 4WD,Black,55950,0,55950,Factory to port,False,,JTEABFAJ0R137CY60,Norm Reeves Toyota San Diego,CA
2024,Land Cruiser 4WD,Underground,61950,0,61950,Factory to port,False,,JTEABFAJ0R137CY88,AutoNation Toyota Cerritos,CA
2024,1958 4WD,Ice Cap,55950,0,55950,Factory to port,False,,JTEABFAJ0R137DE10,Elk Grove Toyota,CA
2024,Land Cruiser 4WD,Black,61950,995,62945,Factory to port,False,,JTEABFAJ0R137DE38,Hanlees Fairfield Toyota,CA
2024,1958 4WD,Meteor Shower,55950,0,55950,Factory to port,False,,JTEABFAJ0R137DK16,Capitol Toyota of Salem,OR
2024,Land Cruiser 4WD,Meteor Shower,61950,1397,63347,Factory to port,False,,JTEABFAJ0R137DU09,DCH Wappingers Falls Toyota,NY
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,Factory to port,False,,JTEABFAJ0R137DU12,Lia Toyota of Colonie,NY
2024,1958 4WD,Black,55950,0,55950,Factory to port,False,,JTEABFAJ0R137DZ58,Toyota of Merrillville,IN
2024,1958 4WD,Black,55950,0,55950,Factory to port,False,,JTEABFAJ0R137DZ61,Schaumburg Toyota,IL
2024,Land Cruiser 4WD,Trail Dust / Grayscape,61950,0,61950,Factory to port,False,,JTEABFAJ0R137DZ89,Le Mieux & Son Toyota,WI
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Factory to port,False,,JTEABFAJ0R137DZ92,Kokomo Toyota,IN
2024,Land Cruiser 4WD,Black,61950,1899,63849,Factory to port,False,DealerHold,JTEABFAJ0R137EB67,Wolfchase Toyota,TN
2024,1958 4WD,Meteor Shower,55950,0,55950,Factory to port,True,,JTEABFAJ0R137EC79,Toyota of Des Moines,IA
2024,First Edition 4WD,Meteor Shower,74950,0,74950,At dealer,False,Available,JTEABFAJ0R5000696,Dan Deery Toyota,IA
2024,First Edition 4WD,Black,74950,0,74950,At dealer,False,,JTEABFAJ0R5000701,Chuck Patterson Toyota Dodge,CA
2024,First Edition 4WD,Meteor Shower,74950,0,74950,At dealer,False,DealerHold,JTEABFAJ0R5001346,Seeger Toyota,MO
2024,First Edition 4WD,Black,74950,0,74950,Port to dealer,False,DealerHold,JTEABFAJ0R5001363,Olathe Toyota,KS
2024,First Edition 4WD,Meteor Shower,74950,3480,78430,At dealer,False,Available,JTEABFAJ0R5001430,East Madison Toyota,WI
2024,Land Cruiser 4WD,Underground,61950,0,61950,At dealer,False,Available,JTEABFAJ0R5002061,Little Apple Toyota,KS
2024,First Edition 4WD,Black,74950,0,74950,At dealer,False,Available,JTEABFAJ0R5002528,Joseph Airport Toyota,OH
2024,First Edition 4WD,Meteor Shower,74950,0,74950,At dealer,False,Available,JTEABFAJ0R5002707,Toyota of North Miami,FL
2024,First Edition 4WD,Black,74950,1595,76545,Port to dealer,True,,JTEABFAJ0R5002805,Findlay Toyota,NV
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,At dealer,False,DealerHold,JTEABFAJ0R5002965,Dan Cava's Toyota World,WV
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Factory to port,False,Available,JTEABFAJ0R5003047,Heritage Toyota Catonsville,MD
2024,Land Cruiser 4WD,Underground,61950,0,61950,At dealer,False,,JTEABFAJ0R5003257,AutoNation Toyota Libertyville,IL
2024,First Edition 4WD,Meteor Shower,74950,0,74950,Port to dealer,True,DealerHold,JTEABFAJ0R5003355,"Pedersen Toyota, Ltd.",CO
2024,Land Cruiser 4WD,Underground,61950,0,61950,At dealer,False,DealerHold,JTEABFAJ0R5003582,AutoNation Toyota Weston,FL
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,At dealer,False,,JTEABFAJ0R5004263,AutoNation Toyota Pinellas Park,FL
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,At dealer,False,,JTEABFAJ0R5004330,Woburn Toyota,MA
2024,Land Cruiser 4WD,Underground,61950,0,61950,At dealer,False,,JTEABFAJ0R5004487,AutoNation Toyota Libertyville,IL
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,L,False,DealerHold,JTEABFAJ0R5004490,Kendall Toyota,FL
2024,Land Cruiser 4WD,Black,61950,0,61950,Port to dealer,False,,JTEABFAJ0R5004831,Glockner Toyota,OH
2024,Land Cruiser 4WD,Black,61950,0,61950,Port to dealer,False,DealerHold,JTEABFAJ0R5004893,Toyota of Smithfield,RI
2024,Land Cruiser 4WD,Black,61950,0,61950,Port to dealer,False,DealerHold,JTEABFAJ0R5004943,Toyota Direct,OH
2024,Land Cruiser 4WD,Black,61950,0,61950,At dealer,False,DealerHold,JTEABFAJ0R5005154,Haley Toyota,VA
2024,Land Cruiser 4WD,Black,61950,9190,71140,At dealer,False,Available,JTEABFAJ0R5005204,Toyota of Pharr,TX
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,Port to dealer,False,,JTEABFAJ0R5005221,Nashville Toyota North,TN
2024,Land Cruiser 4WD,Ice Cap,61950,0,61950,Port to dealer,False,Available,JTEABFAJ0R5005302,Milton Martin Toyota,GA
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,Port to dealer,True,DealerHold,JTEABFAJ0R5005333,Kinderhook Toyota,NY
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,At dealer,False,DealerHold,JTEABFAJ0R5005395,Toyota of Selma,CA
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Port to dealer,True,DealerHold,JTEABFAJ0R5005414,Ed Martin Toyota,IN
2024,Land Cruiser 4WD,Black,61950,0,61950,Port to dealer,False,,JTEABFAJ0R5005459,Bill Kidd's Timonium Toyota,MD
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,Port to dealer,False,DealerHold,JTEABFAJ0R5005476,Toyota of Keene,NH
2024,Land Cruiser 4WD,Black,61950,0,61950,At dealer,False,Available,JTEABFAJ0R5005493,Lynch Toyota of Auburn,AL
2024,Land Cruiser 4WD,Ice Cap,61950,0,61950,Port to dealer,False,,JTEABFAJ0R5005526,Evans Toyota,IN
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,At dealer,False,Available,JTEABFAJ0R5005543,Team Toyota,IN
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,At dealer,False,Available,JTEABFAJ0R5005610,World Toyota,GA
2024,Land Cruiser 4WD,Underground,61950,1990,63940,At dealer,False,,JTEABFAJ0R5005784,East Madison Toyota,WI
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,At dealer,True,DealerHold,JTEABFAJ0R5005879,Joseph Toyota of Cincinnati,OH
2024,Land Cruiser 4WD,Black,61950,0,61950,Port to dealer,False,Available,JTEABFAJ0R5005915,Vann York Toyota,NC
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,1899,63849,At dealer,False,DealerHold,JTEABFAJ0R5005963,Wolfchase Toyota,TN
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,At dealer,False,Available,JTEABFAJ0R5005994,Luther Brookdale Toyota,MN
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5006031,Heritage Toyota Harrisburg,PA
2024,Land Cruiser 4WD,Black,61950,0,61950,At dealer,False,Available,JTEABFAJ0R5006045,Miracle Toyota,FL
2024,Land Cruiser 4WD,Underground,61950,0,61950,Factory to port,False,Available,JTEABFAJ0R5006059,Hendrick Toyota Apex,NC
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,At dealer,False,DealerHold,JTEABFAJ0R5006076,Right Toyota,AZ
2024,Land Cruiser 4WD,Underground,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5006112,Thornhill Toyota,WV
2024,Land Cruiser 4WD,Black,61950,0,61950,Port to dealer,False,DealerHold,JTEABFAJ0R5006126,Fred Anderson Toyota of Charleston,SC
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,Port to dealer,False,DealerHold,JTEABFAJ0R5006191,Toyota Direct,OH
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Port to dealer,False,DealerHold,JTEABFAJ0R5006210,Toyota of Cool Springs,TN
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,3995,65945,At dealer,False,DealerHold,JTEABFAJ0R5006224,Jim Norton Toyota of Oklahoma City,OK
2024,Land Cruiser 4WD,Black,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5006238,Lugoff Toyota,SC
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5006241,Thompson Toyota,PA
2024,Land Cruiser 4WD,Ice Cap,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5006255,Nalley Toyota of Roswell,GA
2024,Land Cruiser 4WD,Black,61950,0,61950,Factory to port,False,,JTEABFAJ0R5006336,Beaman Toyota,TN
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5006384,Butler Toyota,GA
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Factory to port,False,,JTEABFAJ0R5006398,Charlie's Toyota,ME
2024,Land Cruiser 4WD,Underground,61950,0,61950,Port to dealer,True,DealerHold,JTEABFAJ0R5006417,Ed Martin Toyota,IN
2024,Land Cruiser 4WD,Ice Cap,61950,0,61950,Port to dealer,False,,JTEABFAJ0R5006434,Dan Deery Toyota,IA
2024,Land Cruiser 4WD,Underground,61950,0,61950,Factory to port,False,,JTEABFAJ0R5006479,Ardmore Toyota,PA
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,Factory to port,True,DealerHold,JTEABFAJ0R5006501,Ira Toyota,MA
2024,Land Cruiser 4WD,Underground,61950,0,61950,Factory to port,False,Available,JTEABFAJ0R5006529,AutoNation Toyota South Austin,TX
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5006546,Ron Tonkin Toyota,OR
2024,Land Cruiser 4WD,Underground,61950,0,61950,Port to dealer,True,DealerHold,JTEABFAJ0R5006594,Toyota of Surprise,AZ
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,Factory to port,True,Available,JTEABFAJ0R5006630,Toyota of Cedar Park,TX
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Factory to port,False,,JTEABFAJ0R5006661,Rohrich Toyota,PA
2024,Land Cruiser 4WD,Underground,61950,5997,67947,Factory to port,False,Available,JTEABFAJ0R5006689,San Marcos Toyota,TX
2024,Land Cruiser 4WD,Ice Cap,61950,0,61950,Factory to port,False,,JTEABFAJ0R5006692,Heiser Toyota,WI
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5006708,Atlantic Toyota,NY
2024,Land Cruiser 4WD,Black,61950,0,61950,Factory to port,False,,JTEABFAJ0R5006711,Toyota of Louisville,KY
2024,Land Cruiser 4WD,Black,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5006725,Koch 33 Toyota,PA
2024,Land Cruiser 4WD,Black,61950,599,62549,Factory to port,False,,JTEABFAJ0R5006787,AutoNation Toyota Tempe,AZ
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5006790,Grieco Toyota,RI
2024,Land Cruiser 4WD,Underground,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5006823,Jim White Toyota,OH
2024,Land Cruiser 4WD,Black,61950,0,61950,Factory to port,False,,JTEABFAJ0R5006837,Toyota of Watertown,MA
2024,Land Cruiser 4WD,Black,61950,0,61950,Factory to port,True,DealerHold,JTEABFAJ0R5006840,Handy Toyota,VT
2024,Land Cruiser 4WD,Meteor Shower,61950,0,61950,Factory to port,False,,JTEABFAJ0R5006854,Dublin Toyota,CA
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Factory to port,False,,JTEABFAJ0R5006871,Peruzzi Toyota,PA
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0R5007034,Toyota of Kingsport,TN
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,At dealer,False,Available,JTEABFAJ0RK000165,Mid-City Toyota,CA
2024,First Edition 4WD,Black,74950,0,74950,At dealer,True,DealerHold,JTEABFAJ0RK000215,Toyota of Glendora,CA
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,13885,88835,At dealer,False,DealerHold,JTEABFAJ0RK000537,Schaumburg Toyota,IL
2024,First Edition 4WD,Meteor Shower,74950,0,74950,At dealer,False,Available,JTEABFAJ0RK000943,Fiore Toyota,PA
2024,1958 4WD,Meteor Shower,55950,0,55950,L,False,Available,JTEABFAJ0RK001218,AutoNation Toyota Winter Park,FL
2024,First Edition 4WD,Black,74950,0,74950,At dealer,False,DealerHold,JTEABFAJ0RK001400,Shottenkirk Toyota Granbury,TX
2024,First Edition 4WD,Trail Dust / Grayscape,74950,0,74950,At dealer,False,Available,JTEABFAJ0RK001624,Seminole Toyota,FL
2024,First Edition 4WD,Black,74950,0,74950,At dealer,False,Available,JTEABFAJ0RK001994,Clearwater Toyota,FL
2024,First Edition 4WD,Meteor Shower,74950,0,74950,At dealer,False,Available,JTEABFAJ0RK002045,Williams Toyota of Sayre,PA
2024,First Edition 4WD,Meteor Shower,74950,0,74950,At dealer,False,DealerHold,JTEABFAJ0RK002448,Middletown Toyota,CT
2024,First Edition 4WD,Trail Dust / Grayscape,74950,358,75308,At dealer,False,DealerHold,JTEABFAJ0RK002952,City Toyota,CA
2024,First Edition 4WD,Trail Dust / Grayscape,74950,0,74950,Port to dealer,False,DealerHold,JTEABFAJ0RK003177,Toyota Walnut Creek,CA
2024,1958 4WD,Meteor Shower,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK005401,"Riverside Toyota, Inc.",GA
2024,1958 4WD,Black,55950,14070,70020,At dealer,False,,JTEABFAJ0RK005740,Claremont Toyota,CA
2024,Land Cruiser 4WD,Trail Dust / Grayscape,61950,0,61950,At dealer,False,DealerHold,JTEABFAJ0RK006838,Kendall Toyota,FL
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,At dealer,True,DealerHold,JTEABFAJ0RK007035,Toyota on Nicholasville,KY
2024,First Edition 4WD,Trail Dust / Grayscape,74950,0,74950,At dealer,False,,JTEABFAJ0RK007116,Capitol Toyota,CA
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,DealerHold,JTEABFAJ0RK007584,"Bristol Toyota, Inc.",MA
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,At dealer,False,DealerHold,JTEABFAJ0RK007634,Spitzer Toyota,PA
2024,First Edition 4WD,Trail Dust / Grayscape,74950,0,74950,At dealer,False,DealerHold,JTEABFAJ0RK007651,McGee Toyota,MA
2024,1958 4WD,Black,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK007679,Central Florida Toyota,FL
2024,First Edition 4WD,Trail Dust / Grayscape,74950,0,74950,Port to dealer,True,DealerHold,JTEABFAJ0RK007729,Toyota of Naperville,IL
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,699,75649,Port to dealer,False,DealerHold,JTEABFAJ0RK007777,Stephen Wade Toyota,UT
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,Port to dealer,True,DealerHold,JTEABFAJ0RK007780,"Stapp Interstate Toyota, Inc.",CO
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,Port to dealer,False,,JTEABFAJ0RK007925,Diehl Toyota of Butler,PA
2024,First Edition 4WD,Trail Dust / Grayscape,74950,0,74950,Port to dealer,True,Available,JTEABFAJ0RK008007,Hesser Toyota,WI
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,At dealer,False,Available,JTEABFAJ0RK008086,Jerry's Toyota,MD
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,At dealer,False,DealerHold,JTEABFAJ0RK008198,City Toyota,MT
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,Port to dealer,True,DealerHold,JTEABFAJ0RK008332,Toyota of Somerset,KY
2024,First Edition 4WD,Trail Dust / Grayscape,74950,0,74950,Port to dealer,True,DealerHold,JTEABFAJ0RK008461,Toyota of Fox Lake,IL
2024,1958 4WD,Meteor Shower,55950,0,55950,At dealer,False,,JTEABFAJ0RK008492,"Glen Motors, Inc.",NJ
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,,JTEABFAJ0RK008587,East Madison Toyota,WI
2024,First Edition 4WD,Trail Dust / Grayscape,74950,0,74950,At dealer,True,DealerHold,JTEABFAJ0RK008752,Toyota of Glendora,CA
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,DealerHold,JTEABFAJ0RK008766,Jeff Wyler Toyota of Springfield,OH
2024,First Edition 4WD,Trail Dust / Grayscape,74950,499,75449,Port to dealer,False,Available,JTEABFAJ0RK008900,Toyota San Luis Obispo,CA
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,Port to dealer,True,DealerHold,JTEABFAJ0RK008914,Toyota West,OH
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,At dealer,False,DealerHold,JTEABFAJ0RK008928,Dolan Toyota,NV
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,Port to dealer,False,DealerHold,JTEABFAJ0RK009013,Olathe Toyota,KS
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,At dealer,False,DealerHold,JTEABFAJ0RK009223,Sheehy Toyota of Laurel,MD
2024,First Edition 4WD,Trail Dust / Grayscape,74950,11990,86940,At dealer,False,DealerHold,JTEABFAJ0RK009271,Don McGill Toyota,TX
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,Port to dealer,False,DealerHold,JTEABFAJ0RK009299,"Molle Toyota, Inc.",MO
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,Port to dealer,True,Available,JTEABFAJ0RK009352,Findlay Toyota Prescott,AZ
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,Port to dealer,False,DealerHold,JTEABFAJ0RK009433,Kari Toyota,WI
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,Port to dealer,True,,JTEABFAJ0RK009478,Avondale Toyota,AZ
2024,1958 4WD,Black,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK009531,Peter Boulware Toyota,FL
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK009562,Cronin Toyota of  Richmond,IN
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,0,74950,At dealer,True,Available,JTEABFAJ0RK009643,McDonough Toyota,VA
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK009660,Central Florida Toyota,FL
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK009707,Toyota of Lincolnwood,IL
2024,First Edition 4WD,Heritage Blue / Grayscape,74950,4079,79029,Port to dealer,True,,JTEABFAJ0RK009741,Toyota of Huntington Beach,CA
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,DealerHold,JTEABFAJ0RK009805,Fred Anderson Toyota of Charleston,SC
2024,Land Cruiser 4WD,Trail Dust / Grayscape,61950,0,61950,At dealer,False,,JTEABFAJ0RK009819,AutoNation Toyota Pinellas Park,FL
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,,JTEABFAJ0RK009920,Toyota of Southern Maryland,MD
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,,JTEABFAJ0RK009948,Hartford Toyota,CT
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK010100,Cherokee County Toyota,GA
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,Available,JTEABFAJ0RK010131,Bruner Toyota,TX
2024,1958 4WD,Meteor Shower,55950,0,55950,At dealer,False,,JTEABFAJ0RK010307,Williams Toyota of Elmira,NY
2024,Land Cruiser 4WD,Trail Dust / Grayscape,61950,0,61950,At dealer,False,Available,JTEABFAJ0RK010324,Joel Confer Toyota,PA
2024,1958 4WD,Black,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK010467,Cobb County Toyota,GA
2024,1958 4WD,Ice Cap,55950,1295,57245,At dealer,False,Available,JTEABFAJ0RK010551,Toyota of Santa Fe,NM
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,,JTEABFAJ0RK010629,Evans Toyota,IN
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,1978,63928,At dealer,False,,JTEABFAJ0RK010663,Chuck Hutton Toyota,TN
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,,JTEABFAJ0RK010694,Island Toyota,NY
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,,JTEABFAJ0RK010730,Advantage Toyota,WV
2024,1958 4WD,Meteor Shower,55950,0,55950,At dealer,False,,JTEABFAJ0RK010842,Route 44 Toyota,MA
2024,Land Cruiser 4WD,Trail Dust / Grayscape,61950,0,61950,At dealer,False,Available,JTEABFAJ0RK011022,Baxter Toyota of La Vista,NE
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,Available,JTEABFAJ0RK011229,Fitzgerald Toyota Gaithersburg,MD
2024,1958 4WD,Meteor Shower,55950,0,55950,At dealer,False,,JTEABFAJ0RK011263,Charles Toyota,CT
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,,JTEABFAJ0RK011330,Bob Smith Toyota,CA
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,,JTEABFAJ0RK011344,Expressway Toyota,MA
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,DealerHold,JTEABFAJ0RK011361,Empire Toyota,NY
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,,JTEABFAJ0RK011389,DARCARS Toyota,MD
2024,1958 4WD,Black,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK011392,Freeman Toyota,CA
2024,Land Cruiser 4WD,Trail Dust / Grayscape,61950,0,61950,At dealer,False,,JTEABFAJ0RK011585,Malloy Toyota,VA
2024,1958 4WD,Meteor Shower,55950,0,55950,At dealer,False,,JTEABFAJ0RK011649,Basil Toyota,NY
2024,1958 4WD,Black,55950,0,55950,At dealer,False,DealerHold,JTEABFAJ0RK011702,Ciocca Toyota of Williamsport,PA
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,DealerHold,JTEABFAJ0RK011716,White River Toyota,VT
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,,JTEABFAJ0RK011747,Paul Miller Toyota of West Caldwell,NJ
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK011764,Toyota of Gastonia,NC
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,Available,JTEABFAJ0RK011831,Germain Toyota of Columbus,OH
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,Port to dealer,False,,JTEABFAJ0RK011859,Cochran Toyota,PA
2024,1958 4WD,Black,55950,0,55950,At dealer,True,Available,JTEABFAJ0RK011876,Family Toyota of Burleson,TX
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,DealerHold,JTEABFAJ0RK011957,Team Toyota of Glen Mills,PA
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,Port to dealer,False,DealerHold,JTEABFAJ0RK011988,Price Toyota,DE
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,Port to dealer,True,DealerHold,JTEABFAJ0RK011991,Younger Toyota,MD
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK012008,AutoNation Toyota Pinellas Park,FL
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,Available,JTEABFAJ0RK012039,Coggins Toyota of Bennington,VT
2024,1958 4WD,Black,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK012090,Smart Toyota of Quad Cities,IA
2024,1958 4WD,Black,55950,0,55950,At dealer,False,DealerHold,JTEABFAJ0RK012106,Baldwin Toyota,MO
2024,1958 4WD,Ice Cap,55950,599,56549,At dealer,False,DealerHold,JTEABFAJ0RK012137,Hudson Toyota,NJ
2024,1958 4WD,Meteor Shower,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK012168,West Kendall Toyota,FL
2024,1958 4WD,Black,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK012171,Lakeland Toyota,FL
2024,1958 4WD,Meteor Shower,55950,0,55950,Port to dealer,False,,JTEABFAJ0RK012199,Dan Deery Toyota,IA
2024,1958 4WD,Meteor Shower,55950,1292,57242,At dealer,False,Available,JTEABFAJ0RK012235,Carson City Toyota,NV
2024,1958 4WD,Black,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK012252,Johnson City Toyota,TN
2024,1958 4WD,Meteor Shower,55950,13990,69940,At dealer,False,DealerHold,JTEABFAJ0RK012266,East Coast Toyota,NJ
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,True,DealerHold,JTEABFAJ0RK012350,Mike Kelly Toyota of Uniontown,PA
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,At dealer,False,Available,JTEABFAJ0RK012395,Fitzgerald Toyota Gaithersburg,MD
2024,1958 4WD,Ice Cap,55950,2363,58313,At dealer,False,Available,JTEABFAJ0RK012400,Team Toyota of Princeton,NJ
2024,1958 4WD,Black,55950,0,55950,At dealer,False,,JTEABFAJ0RK012428,Rivera Toyota of Mt. Kisco,NY
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,0,61950,Factory to port,False,DealerHold,JTEABFAJ0RK012462,Shelor Toyota,VA
2024,1958 4WD,Ice Cap,55950,0,55950,At dealer,False,Available,JTEABFAJ0RK012512,Advantage Toyota,NY
2024,1958 4WD,Black,55950,0,55950,At dealer,False,,JTEABFAJ0RK012526,Toyota of Massapequa,NY
2024,1958 4WD,Black,55950,0,55950,Port to dealer,True,DealerHold,JTEABFAJ0RK012543,Modesto Toyota,CA
2024,Land Cruiser 4WD,Trail Dust / Grayscape,61950,0,61950,At dealer,False,Available,JTEABFAJ0RK012574,Central Florida Toyota,FL
2024,Land Cruiser 4WD,Heritage Blue / Grayscape,61950,0,61950,Port to dealer,False,DealerHold,JTEABFAJ0RK012588,Lithia Toyota,OR
2024,Land Cruiser 4WD,Trail Dust / Grayscape,61950,399,62349,At dealer,False,DealerHold,JTEABFAJ0RK012591,Bommarito Toyota,MO
